Suppliers with Products in Review,,,,2/3/2017
MemberTypeCode, "asi #", "company name", "supplier level", "SSO", "prod_ID", "prod #", "prod name", "Reason For Review", "Comment", "Review Date"
SPLR,"30235","ASIQA Supplier II",9,eeeeee,551211455,,"Leatherman CamelBak Bottle","Restricted words","EZ Up,E-Z Up,CamelBak,Leatherman",1/25/2017
SPLR,"30235","ASIQA Supplier II",9,eeeeee,551211458,,"Leatherman CamelBak Bottle","Restricted words","EZ Up,E-Z Up,CamelBak,Leatherman",1/25/2017
SPLR,"30235","ASIQA Supplier II",9,eeeeee,551211480,,"Leatherman CamelBak Bottle","Restricted words","EZ Up,E-Z Up,CamelBak,Leatherman",1/27/2017
SPLR,"30235","ASIQA Supplier II",9,eeeeee,551211485,,"Leatherman CamelBak Bottle","Restricted words","EZ Up,E-Z Up,CamelBak,Leatherman",1/30/2017
SPLR,"30235","ASIQA Supplier II",9,eeeeee,551211577,,"Leatherman CamelBak Bottle","Restricted words","EZ Up,E-Z Up,CamelBak,Leatherman",1/31/2017
SPLR,"30235","ASIQA Supplier II",9,eeeeee,551211840,,"Leatherman CamelBak Bottle","Restricted words","EZ Up,E-Z Up,CamelBak,Leatherman",2/1/2017
DIST,"231310","Infinart, Inc",,[not recorded],551046058,3411,"Women's Vansport (TM) Melange 1/4 Zip Tech Pullover","Restricted words","3M",8/27/2016
DIST,"466571","Q Group",,[not recorded],200381315,B1299,"BOTC Post-it Pads","Restricted words","Post-it",9/4/2016
SPLR,"57611","Gold Mountain Group Inc",8,mziereis,6050557,GM-WA-001U,"16 oz Collapsible and Foldable Water Pouch With Carabiner","Legal Review","Patent Infringement per email from Kristi 3-23-16",3/23/2016
SPLR,"90453","T & B Promos, LLC",8,rvolinsky,550223775,TB3011534,"Bag  hanger","Legal Review","infringement Luxe Link",1/2/2017
SPLR,"31962","ADLIGHTS.com",8,coliver,7413125,164-lg2012,"Custom NEON SIGN - Greek Lettering - 13"" x 32""","Legal Review","Greek Lettering",1/2/2017
SPLR,"31962","ADLIGHTS.com",8,coliver,7413126,164-lg2012-1,"Custom LED SIGN - Greek Lettering - 20"" x 37""","Legal Review","Greek Lettering",1/2/2017
SPLR,"31957","ADGLOW",8,coliver,7402615,164-lg2012,"Custom NEON SIGN - Greek Lettering - 13"" x 32""","Legal Review","Greek Lettering",1/2/2017
SPLR,"45245","CJ Branding LLC",8,[not recorded],550035317,CJ10311,"Retractable Cable Connector","Legal Review","",9/5/2016
SPLR,"90168","Sunrise Gifts Inc",8,cstevenson,550134912,AAMX1402022,"Lemon cup","Legal Review","10/16/15-set to legal review per Kristi K.",2/12/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550394126,AAMSL1504020,"22oz Color Lemon Bottle","Legal Review","set to legal review, per Kristi K.",4/12/2016
SPLR,"90168","Sunrise Gifts Inc",8,gthomas,550403042,AAYHT1504042,"USB Charger Wristbands/Bracelets for Iphone 6","Legal Review","Apple Infringement",4/21/2016
SPLR,"90168","Sunrise Gifts Inc",8,gthomas,550406810,AAMSL1504025,"3 in 1 Knife USB Data Cable","Legal Review","Apple Infringement",4/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,gthomas,550406816,AAMSL1504027,"3 in 1 Ball USB Data Cable","Legal Review","Apple Infringement",4/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,gthomas,550406818,AAMSL1504028,"3 in 1 Tennis Ball USB Data Cable","Legal Review","Apple Infringement",4/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,gthomas,550406820,AAMSL1504029,"3 in 1 Case USB Data Cable","Legal Review","Apple Infringement",4/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,gthomas,550406823,AAMSL1504030,"3 in 1 Box USB Data Cable","Legal Review","Apple Infringement",4/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,gthomas,550406826,AAMSL1504031,"3 in 1 Polo Shirt USB Data Cable","Legal Review","Apple Infringement",4/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511151,AAYHT1507027,"23 oz Colorful Frosting Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,cstevenson,550511152,AAYHT1507028,"23 oz Colorful Frosting Lemon Cup ","Legal Review","10/16/15-set to legal review per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511156,AAYHT1507029,"23 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511157,AAYHT1507030,"23 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511160,AAYHT1507033,"17 oz Colorful Frosting Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511161,AAYHT1507034,"17 oz Colorful Frosting Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511163,AAYHT1507035,"17 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511165,AAYHT1507036,"17 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511166,AAYHT1507037,"22 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511167,AAYHT1507038,"22 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511168,AAYHT1507039,"24 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511170,AAYHT1507040,"24 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/23/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511932,AAYHT1507041,"22 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/24/2016
SPLR,"90168","Sunrise Gifts Inc",8,alange,550511935,AAYHT1507042,"22 oz Colorful Lemon Cup ","Legal Review","set to legal review, per Kristi K.",7/24/2016
SPLR,"90168","Sunrise Gifts Inc",8,tonywang,550862870,AAQKD1604066,"Silicone Dog Frisbee","Restricted words","frisbee",11/12/2016
SPLR,"30090","A1 Gifts",8,[Login Id 333585 not located in user database],551211875,,"Leatherman CamelBak Bottle","Restricted words","EZ Up,E-Z Up,CamelBak,Leatherman",2/2/2017
SPLR,"30090","A1 Gifts",8,[Login Id 333585 not located in user database],551211880,,"Leatherman CamelBak Bottle","Restricted words","EZ Up,E-Z Up,CamelBak,Leatherman",2/2/2017
SPLR,"30090","A1 Gifts",8,[Login Id 333585 not located in user database],551211883,,"Leatherman CamelBak Bottle","Restricted words","EZ Up,E-Z Up,CamelBak,Leatherman",2/2/2017
SPLR,"62148","Ideasource Inc.",8,terry@ideasourceprinting.com,551166072,ISJZ-610212fil,"Multi Fuctional Durable file folder","Restricted words","iPad",10/24/2016
SPLR,"30030","A.D.A.I. Promotions Inc.",2,tamreckard,550618453,AP0168,"Wayfarer Sunglasses","Legal Review","Wayfarer",11/11/2016
SPLR,"67821","Logo Palaces",8,rvolinsky,550397825,ALHKL036,"20oz shaker bottle","Legal Review","blender bottle",7/19/2016
SPLR,"67821","Logo Palaces",8,rvolinsky,550436903,ALPNP060,"Plastic Shaker Bottle With Wire Whisk","Legal Review","blender bottle",7/19/2016
SPLR,"67821","Logo Palaces",8,rvolinsky,550961687,BONNIE091,"Shaker Bottle","Legal Review","blender bottle",1/11/2017
SPLR,"74709","Ocean Blessing",9,sfarrell,550536943,OBS285A,"3 in 1 ,micro usb/iphone4/iphone5","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536947,OBS280A,"Fabric Braided USB/M to Iphone4 cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536950,OBS283A,"Light Up 5 USB Cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536959,OBS281A,"Fabric Braided USB/M to Iphone5 cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536961,OBS277A,"LED Light Iphone5 Smile USB Cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536965,OBS273A,"Iphone5 data cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536967,OBS272A,"Iphone4 data cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536974,OBS270A,"3 in 1 USB Cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536977,OBS269A,"6 in 1 USB Cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536980,OBS268A,"3 in 1 Lighting USB Cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536982,OBS267A,"3 in 1 USB Cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550536988,OBS294A,"Keychain Iphone5 USB Charge Cable","Legal Review","Apple Infringement",8/20/2016
SPLR,"74709","Ocean Blessing",9,sfarrell,550544249,OBS270S,"3 in 1 USB Cable","Legal Review","Apple Infringement",8/28/2016
SPLR,"79659","Pro Branding Solutions",2,coliver,550982405,PBS110780,"Airbag Phone Stand","Legal Review","PopSockets patent",1/22/2017
SPLR,"79971","Prosperous Inc.",,[not recorded],550832797,PRSK1054,"36"" Casino Bungee Cord W/ Lobster Claw And J-HOOK","Legal Review","distributor contacted regarding a patent & copyright infringement from SHC Holdings, LLC Specialty H",10/23/2016
